feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,penalizer,n,events,error,fdr_bh,internal_log_hr,internal_fdr_bh,direction_concordant
BANK1,external_gene,0.0151132564504992,1.0152280392289583,0.7822259174033771,1.3176346483865882,0.9095455066328056,0.05,60,33,,0.950704151016686,-0.0090553988804906,0.986490966722809,False
VMO1,external_gene,-0.2147413730789015,0.806750060482989,0.6017249062207835,1.0816332403074898,0.1511666829287173,0.05,60,33,,0.950704151016686,0.0057806871450315,0.986490966722809,False
FCGR2B,external_gene,-0.1416095267276259,0.8679601055485613,0.6330162831771242,1.1901032640783955,0.3792405710326806,0.05,60,33,,0.950704151016686,0.0078058704229506,0.986490966722809,False
RAMP2,external_gene,0.1071920300797451,1.11314799185431,0.8287085963094549,1.4952161197403355,0.4764721964646585,0.05,60,33,,0.950704151016686,0.0079332283246823,0.986490966722809,True
CNRIP1,external_gene,0.0093160977905989,1.0093596277009134,0.7626089279575163,1.335949292858636,0.9480660004074872,0.05,60,33,,0.950704151016686,-0.0059156604495202,0.986490966722809,False
TM4SF1,external_gene,0.2169568426147814,1.2422904869717275,0.9734190083032018,1.585427899862571,0.0812518154925149,0.05,60,33,,0.8701829249673787,0.0065829739098806,0.986490966722809,True
ESAM,external_gene,0.0847453538578653,1.0884398643932345,0.8243393328649979,1.437152506459838,0.5500736768096868,0.05,60,33,,0.950704151016686,0.0076620280077371,0.986490966722809,True
SPARCL1,external_gene,0.1835896872911203,1.201522721897573,0.901927005551705,1.6006360186022748,0.2096295444355072,0.05,60,33,,0.950704151016686,0.0027024101121835,0.986490966722809,True
DCN,external_gene,0.0402537517815907,1.0410749152923584,0.807023140589641,1.3430060734802471,0.7567033107704884,0.05,60,33,,0.950704151016686,0.0016258854175711,0.986490966722809,True
CLDN4,external_gene,0.159223362005528,1.1725998316821356,0.8851579188562813,1.5533842447431383,0.2671122844354977,0.05,60,33,,0.950704151016686,-0.0029281969451003,0.986490966722809,False
