feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
COL3A1,gene,0.0325627147805646,1.0330986816694747,0.841292720463442,1.268634400496498,0.7559890856500131,182,77,,0.986490966722809,50,0.036788454873498,-0.0127309646587206,0.0696482165715388,0.68,COL3A1,Pericytes,4,1.0503086290592567,1.0,True,Evidence at protein level
CD24,gene,0.0368864670090418,1.0375752151333484,0.8031638436840478,1.3404018812910072,0.7777017724960198,182,77,,0.986490966722809,50,0.0368472229092566,-0.0086124387360047,0.1081537687947438,0.7,CD24,B,7,0.9543228992299964,1.0,True,Evidence at protein level
BTK,gene,0.0299930441238967,1.0304473662643774,0.8290465048534961,1.2807746832354483,0.7869203207401729,182,77,,0.986490966722809,50,0.0166995916293857,-0.0207477711503636,0.0779996347980295,0.62,BTK,Mast,8,1.0082959470204218,0.998,True,Evidence at protein level
S100A7,gene,-0.0374964097750898,0.9631978758116212,0.7314162023628049,1.268429855629349,0.7894891196043562,182,77,,0.986490966722809,50,-0.047580026413371,-0.0846924414122853,0.014657477476944,0.66,S100A7,Malignant,3,1.0439320388349511,1.0,True,Evidence at protein level
RGS5,gene,-0.0353437079981258,0.9652735869824196,0.7317451902696832,1.273329992620124,0.8025103168189951,182,77,,0.986490966722809,50,-0.0381019091553493,-0.0796976154546938,0.0032750780040755,0.7,RGS5,Pericytes,6,1.0440282892534314,1.0,True,Evidence at protein level
COL1A2,gene,0.024827020943239,1.025137777820727,0.8303208711958421,1.2656642750671596,0.8174173530039082,182,77,,0.986490966722809,50,0.0261775280737339,-0.0220349021531693,0.0625144602479135,0.68,COL1A2,Pericytes,1,1.0511748828255774,1.0,True,Evidence at protein level
IGHG4,gene,-0.0254272889400998,0.974893261911086,0.7826670543362878,1.2143310068488873,0.8204850171790142,182,77,,0.986490966722809,50,-0.0313349123758108,-0.0634115611590057,0.0263731927011335,0.64,IGHG4,Plasma,4,1.0305051054569805,1.0,True,Evidence at protein level
SLC18A2,gene,-0.0295769478047808,0.9708561695159158,0.7516539866976226,1.2539835064645148,0.8207885644088697,182,77,,0.986490966722809,50,-0.0311246141857297,-0.0768129069108533,0.0097351168093751,0.7,SLC18A2,Mast,3,1.0485279963173753,1.0,True,Evidence at protein level
COL15A1,gene,-0.0269444733749535,0.973415290489594,0.7706495928928779,1.2295306926745506,0.8211288611556593,182,77,,0.986490966722809,50,-0.0182926709632742,-0.0501142589204561,0.0106276265731616,0.72,COL15A1,Endothelial,4,1.0436432875795112,1.0,True,Evidence at protein level
CTHRC1,gene,0.020575188203324,1.0207883165973712,0.8250096637852926,1.2630261596219026,0.8497915830167387,182,77,,0.986490966722809,50,0.0081725928200975,-0.0349166494561762,0.0644077737703331,0.62,CTHRC1,Fibroblasts,9,1.0151772263140273,1.0,True,Evidence at protein level
SPIB,gene,0.023420087567654,1.023696491401269,0.7825106493876495,1.339220759905748,0.8643398730204673,182,77,,0.986490966722809,50,0.0166304855554292,-0.0258142543163892,0.0729540491201833,0.56,SPIB,B,5,0.9677017073987276,1.0,True,Evidence at protein level
IGLL5,gene,0.0196275468024903,1.019821433528646,0.8141497881185462,1.2774501344376517,0.8643860717721996,182,77,,0.986490966722809,50,0.0026361453636194,-0.0299380366092968,0.0526158298395842,0.52,IGLL5,Plasma,6,1.0102925175761632,1.0,True,Evidence at protein level
OLR1,gene,0.0181767231875516,1.0183429252965324,0.8040640727460008,1.2897259666880905,0.8801376139660686,182,77,,0.986490966722809,50,0.0239054961284411,-0.0214733154127573,0.0708865898759414,0.64,OLR1,Mono/Macro,2,1.0251391446267155,1.0,True,Evidence at protein level
IGHV4-34,gene,0.0143469954042486,1.0144504075019354,0.8222508849273239,1.2515761893911523,0.8935080005319428,182,77,,0.986490966722809,50,0.0123271740764478,-0.0268315115559801,0.0562028849482641,0.56,IGHV4-34,Plasma,1,1.0420310930699697,1.0,True,Evidence at protein level
CALML3,gene,-0.0223787532198746,0.977869793569754,0.6913148812911111,1.3832037455786912,0.8993504395540808,182,77,,0.986490966722809,50,-0.0257054115815319,-0.0651593783616218,0.0820688451537513,0.62,CALML3,Malignant,8,1.0271844660194174,1.0,True,Evidence at protein level
