dataset,model,repeat,horizon_days,threshold_probability,net_benefit,treat_all_net_benefit
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.475,-0.0001307272469263411,-0.4567217491657988
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.5,-0.007527665238718536,-0.5296304792424197
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.525,-0.008963691162155799,-0.6102138124850006
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.55,-0.010559275521530536,-0.6997508494212017
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.575,-0.012342575687890529,-0.7998216554087201
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.6,-0.014348788375045529,-0.9124013121446788
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.05,0.5679134763873336,0.5679134763873336
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.075,0.5556100674800062,0.5556100674800062
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.1,0.5426231358556051,0.5426231358556051
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.125,0.5288940938526666,0.5288940938526666
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.15,0.5143574611436731,0.5143574611436731
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.175,0.4989398203917102,0.4989398203917102
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.2,0.4896540521889992,0.48255857709274963
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.225,0.4733603859507911,0.46512047938740453
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.25,0.4559804752967025,0.44651984183503635
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.275,0.4374019501147457,0.4266364016928498
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.3,0.4418237306069334,0.4053327158262212
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.325,0.4234470574885438,0.3824509791546573
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.35,0.403656794130278,0.357809108892973
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.375,0.3703509636789717,0.331195889010354
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.4,0.3634574140454607,0.3023649008041833
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.425,0.3400568680893684,0.2710268701453023
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.45,0.3145289997736314,0.23683992760834116
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.475,0.2849196729923002,0.1993970857821456
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.5,0.2438905073972188,0.1582099597733304
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.525,0.27520460862189056,0.11268734681621889
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.55,0.22425038433233901,0.06210666575276169
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.575,0.08843331821782108,0.005575316328897961
TCGA_ESCA_outer_test,elastic_net_cox,3,1095,0.6,0.02430446257497461,-0.05802245177294896
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.05,0.19025709293646637,0.1956361450224554
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.075,0.16281097417426374,0.17388560540124234
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.1,0.14244741476514006,0.15092670246773965
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.125,0.11508940288163765,0.12665586222375108
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.15,0.08365470496159022,0.100957325494822
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.175,0.0638470511581647,0.07370130169141237
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.2,0.0519781565970658,0.044741776400289646
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.225,0.02609554227447959,0.013913894638771906
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.25,0.006755887191780552,-0.01896917924018035
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.275,-0.010743183510642268,-0.05412005131768108
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.3,-0.0031882141747518883,-0.09178169997214605
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.325,0.006205171764810738,-0.13223310037879368
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.35,-0.020863776482666185,-0.17579614697056803
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.375,-0.045153796454869145,-0.22284423728968436
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.4,-0.04649102209951106,-0.2738130018020605
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.425,-0.03282445837025246,-0.3292138327937735
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.45,-0.026159971236745932,-0.38965110296655125
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.475,-0.02402413922067182,-0.4558443036319746
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.5,-0.019914746985556907,-0.5286568243639403
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.525,-0.01467402409462088,-0.6091338209624289
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.55,-0.016226830877120447,-0.6985527060718605
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.575,-0.008981160405251152,-0.7984914600176953
TCGA_ESCA_outer_test,elastic_net_cox,4,365,0.6,-0.009957373492778454,-0.9109225582067602
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.05,0.5662521397886068,0.5662521397886068
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.075,0.5539380733227813,0.5539380733227813
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.1,0.540939892053299,0.540939892053299
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.125,0.5271989575684175,0.5271989575684175
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.15,0.5126497328197196,0.5126497328197196
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.175,0.4965788000060796,0.4972187368741309
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.2,0.48115265735737855,0.4808233036819428
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.225,0.4586633157875055,0.46337010060638784
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.25,0.4411471796186579,0.44475335065912913
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.275,0.4224230340588553,0.4248526869224043
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.3,0.4124641004047236,0.4035305472044849
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.325,0.3921637134266368,0.3806289897296826
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.35,0.36894846862879926,0.3559657739875878
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.375,0.34691228133416635,0.32932950098612535
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.4,0.322295624003452,0.3004735385678744
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.425,0.26733775662902404,0.26910836202629723
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.45,0.21924498493295697,0.23489180579912228
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.475,0.17769223663042005,0.1974165299312639
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.5,0.13287832623391999,0.15619372647661967
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.525,0.08698638889488192,0.11063168055306549
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.55,0.0005196091282729798,0.06000718508244973
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.575,0.034300747176480906,0.0034268666152912353
TCGA_ESCA_outer_test,elastic_net_cox,4,1095,0.6,-0.009426897856730343,-0.060225991660262435
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.05,0.19589743857575062,0.19589743857575062
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.075,0.17521820727364548,0.17413413410127
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.1,0.14852287974307227,0.15116175715598484
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.125,0.1229562393856812,0.12687667295668342
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.15,0.08736728338429448,0.1011630543927172
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.175,0.07990519948135129,0.07389103470366212
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.2,0.07324353642084379,0.0449145137840411
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.225,0.04296941590244856,0.014068539901863908
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.25,0.03456665381535727,-0.01883383223912513
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.275,0.02988576120013814,-0.05400533349328587
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.3,0.013061162029756143,-0.09168908483702945
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.325,-0.0013545694907826714,-0.13216422516919843
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.35,0.004250452934161229,-0.1757528378346113
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.375,0.015385728651122883,-0.22282853951325712
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.4,0.008997552089839492,-0.2738272163317902
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.425,0.008026170495515695,-0.32926056069976084
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.45,0.012460576982361249,-0.3897333000102742
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.475,0.011881350974397527,-0.45596534782655074
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.5,0.005334485124156465,-0.5288206004244551
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.525,0.004630268240790045,-0.6093448269800337
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.55,0.003847805037049578,-0.6988161898195653
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.575,0.0029732873387514104,-0.7988135953461001
TCGA_ESCA_outer_test,elastic_net_cox,5,365,0.6,0.001989454928165971,-0.9113106765634525
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.05,0.5732042075425395,0.5732042075425395
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.075,0.5608097756105387,0.5608097756105387
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.1,0.54772676412676,0.54772676412676
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.125,0.5338961519867653,0.5338961519867653
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.15,0.5192519744267711,0.5192519744267711
