feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
GNG11,gene,-0.047680869680601194,0.9534380095081234,0.7710344072455707,1.1789928301932269,0.6598601361190131,182,77,,0.986490966722809,50,-0.05976016796937876,-0.08320581722992185,0.0015035255844220064,0.74,GNG11,Endothelial,10,1.016981921660529,1.0,True,Evidence at protein level
MEF2B,gene,0.0546486378889923,1.0561694515449056,0.8256524612121385,1.3510453402379647,0.6635644310540751,182,77,,0.986490966722809,50,0.04886033722597076,0.008541732486565888,0.10220613236676654,0.8,MEF2B,Plasma,9,0.987144291931704,1.0,True,Evidence at protein level
FXYD3,gene,-0.054616735226158335,0.9468479718940352,0.732835635338954,1.2233590161935635,0.6760952671138549,182,77,,0.986490966722809,50,-0.0439281402293193,-0.11891831966788645,0.011458616752581028,0.7,FXYD3,Malignant,9,1.0248503933712754,1.0,True,Evidence at protein level
CTLA4,gene,0.05072749940536104,1.0520361737364299,0.8232408623874575,1.3444183366217342,0.6851648528767769,182,77,,0.986490966722809,50,0.04285023475838891,0.008407775158436114,0.08884197422397022,0.8,CTLA4,Treg,1,0.9957827669902913,1.0,True,Evidence at protein level
KLRD1,gene,-0.043306388745957936,0.9576179417544151,0.7756581736646075,1.1822632101424675,0.6871159144694045,182,77,,0.986490966722809,50,-0.037933568835308525,-0.09469687146781156,-0.004049160407772854,0.78,KLRD1,CD8Tex,5,1.0055040592567792,1.0,True,Evidence at protein level
CD8B,gene,0.044226458961674084,1.045219027304783,0.8212429086389473,1.3302797546837115,0.7192699602920594,182,77,,0.986490966722809,50,0.04744173103278122,-0.0060543438707219175,0.09481966098224001,0.72,CD8B,CD8Tex,1,1.0196769333779712,1.0,True,Evidence at protein level
TPSAB1,gene,-0.0418457985534101,0.9590176510803703,0.7622543585788129,1.2065721169485677,0.720965830589551,182,77,,0.986490966722809,50,-0.049766461605672864,-0.07131953301549253,0.007726706400958486,0.68,TPSAB1,Mast,1,1.055313650820221,1.0,True,Evidence at protein level
RASSF6,gene,0.053708797453126296,1.0551772870983818,0.7670552527273532,1.4515239981076749,0.7413322482481282,182,77,,0.986490966722809,50,0.03388033424826212,-0.02625025849497454,0.10226030802070277,0.58,RASSF6,Plasma,8,1.0045415550719785,1.0,True,Evidence at protein level
COL3A1,gene,0.032562714780564626,1.0330986816694747,0.841292720463442,1.268634400496498,0.7559890856500131,182,77,,0.986490966722809,50,0.03678845487349805,-0.012730964658720664,0.06964821657153886,0.68,COL3A1,Pericytes,4,1.0503086290592567,1.0,True,Evidence at protein level
CD24,gene,0.03688646700904186,1.0375752151333484,0.8031638436840478,1.3404018812910072,0.7777017724960198,182,77,,0.986490966722809,50,0.03684722290925667,-0.008612438736004795,0.10815376879474384,0.7,CD24,B,7,0.9543228992299965,1.0,True,Evidence at protein level
BTK,gene,0.029993044123896785,1.0304473662643774,0.8290465048534961,1.2807746832354483,0.7869203207401729,182,77,,0.986490966722809,50,0.016699591629385755,-0.020747771150363616,0.07799963479802954,0.62,BTK,Mast,8,1.0082959470204218,0.998,True,Evidence at protein level
S100A7,gene,-0.03749640977508988,0.9631978758116212,0.7314162023628049,1.268429855629349,0.7894891196043562,182,77,,0.986490966722809,50,-0.04758002641337106,-0.08469244141228532,0.014657477476944037,0.66,S100A7,Malignant,3,1.0439320388349513,1.0,True,Evidence at protein level
RGS5,gene,-0.035343707998125896,0.9652735869824197,0.7317451902696832,1.273329992620124,0.8025103168189951,182,77,,0.986490966722809,50,-0.03810190915534932,-0.07969761545469384,0.0032750780040755817,0.7,RGS5,Pericytes,6,1.0440282892534314,1.0,True,Evidence at protein level
COL1A2,gene,0.02482702094323908,1.025137777820727,0.8303208711958421,1.2656642750671596,0.8174173530039082,182,77,,0.986490966722809,50,0.026177528073733938,-0.022034902153169382,0.06251446024791353,0.68,COL1A2,Pericytes,1,1.0511748828255774,1.0,True,Evidence at protein level
IGHG4,gene,-0.025427288940099827,0.9748932619110859,0.7826670543362878,1.2143310068488873,0.8204850171790142,182,77,,0.986490966722809,50,-0.03133491237581086,-0.06341156115900576,0.0263731927011335,0.64,IGHG4,Plasma,4,1.0305051054569803,1.0,True,Evidence at protein level
SLC18A2,gene,-0.029576947804780887,0.9708561695159158,0.7516539866976226,1.2539835064645148,0.8207885644088697,182,77,,0.986490966722809,50,-0.03112461418572974,-0.07681290691085332,0.009735116809375142,0.7,SLC18A2,Mast,3,1.0485279963173753,1.0,True,Evidence at protein level
COL15A1,gene,-0.02694447337495358,0.9734152904895941,0.7706495928928779,1.2295306926745506,0.8211288611556593,182,77,,0.986490966722809,50,-0.018292670963274284,-0.05011425892045614,0.010627626573161613,0.72,COL15A1,Endothelial,4,1.0436432875795112,1.0,True,Evidence at protein level
CTHRC1,gene,0.02057518820332408,1.0207883165973712,0.8250096637852926,1.2630261596219026,0.8497915830167387,182,77,,0.986490966722809,50,0.00817259282009755,-0.034916649456176285,0.06440777377033319,0.62,CTHRC1,Fibroblasts,9,1.0151772263140273,1.0,True,Evidence at protein level
SPIB,gene,0.023420087567654096,1.023696491401269,0.7825106493876495,1.339220759905748,0.8643398730204673,182,77,,0.986490966722809,50,0.016630485555429245,-0.025814254316389208,0.07295404912018336,0.56,SPIB,B,5,0.9677017073987276,1.0,True,Evidence at protein level
IGLL5,gene,0.019627546802490372,1.019821433528646,0.8141497881185462,1.2774501344376517,0.8643860717721996,182,77,,0.986490966722809,50,0.002636145363619495,-0.02993803660929689,0.0526158298395842,0.52,IGLL5,Plasma,6,1.0102925175761632,1.0,True,Evidence at protein level
OLR1,gene,0.0181767231875516,1.0183429252965324,0.8040640727460008,1.2897259666880903,0.8801376139660686,182,77,,0.986490966722809,50,0.023905496128441138,-0.021473315412757397,0.07088658987594147,0.64,OLR1,Mono/Macro,2,1.0251391446267157,1.0,True,Evidence at protein level
IGHV4-34,gene,0.014346995404248667,1.0144504075019354,0.8222508849273239,1.2515761893911523,0.8935080005319428,182,77,,0.986490966722809,50,0.012327174076447837,-0.026831511555980195,0.05620288494826412,0.56,IGHV4-34,Plasma,1,1.0420310930699697,1.0,True,Evidence at protein level
