state,gene,donors,baseline_specificity_effect,bootstrap_selection_frequency,bootstrap_effect_mean,bootstrap_effect_sd,bootstrap_effect_ci95_low,bootstrap_effect_ci95_high,hpa_evidence,hpa_weight,prominence_score,stable_marker,state_rank
Mast,TPSAB1,66,0.9176640441914965,1.0,0.7696114234924316,0.017235070477556326,0.7328367233276367,0.7954028844833374,Evidence at protein level,1.15,1.055313650820221,True,1
Mast,GATA2,66,0.9132281553398058,1.0,0.7485624108314514,0.010719650639066039,0.7299012541770935,0.7664139866828918,Evidence at protein level,1.15,1.0502123786407767,True,2
Mast,SLC18A2,66,0.9117634750585872,1.0,0.7923021854162217,0.009002462432055679,0.7731708288192749,0.8075678944587708,Evidence at protein level,1.15,1.0485279963173753,True,3
Mast,IL1RL1,66,0.9075159022430532,1.0,0.769259167432785,0.013907356715394772,0.7456761002540588,0.7918767929077148,Evidence at protein level,1.15,1.0436432875795112,True,4
Mast,KIT,66,0.8902745229327084,1.0,0.7340409029722214,0.010434360816797217,0.7126983404159546,0.7517630457878113,Evidence at protein level,1.15,1.0238157013726146,True,5
Mast,CNRIP1,66,0.8861106461332441,1.0,0.7421706632375717,0.006039451812598464,0.7222276329994202,0.7507052421569824,Evidence at protein level,1.15,1.0190272430532306,True,6
Mast,NTRK1,66,0.8809005691329093,1.0,0.7678758816719056,0.008030380517215835,0.7523757219314575,0.7827089428901672,Evidence at protein level,1.15,1.0130356545028456,True,7
Mast,BTK,66,0.878536156678942,0.998,0.7329291259050369,0.013633744438563678,0.6948166489601135,0.7456849217414856,Evidence at protein level,1.15,1.0082959470204218,True,8
Mast,MAOB,66,0.8738701037830598,1.0,0.722239776134491,0.005296999512512439,0.7120944857597351,0.7313116788864136,Evidence at protein level,1.15,1.0049506193505187,True,9
Mast,RAB27B,66,0.871882323401406,0.996,0.7278004229068756,0.012301305615995918,0.7055712342262268,0.7436530590057373,Evidence at protein level,1.15,0.9986540132239704,True,10
Mono/Macro,MMP12,67,0.9015316370940742,1.0,0.7538363888263703,0.006597829637543845,0.7407395839691162,0.7661362886428833,Evidence at protein level,1.15,1.0367613826581854,True,1
Mono/Macro,OLR1,67,0.8914253431536658,1.0,0.7582256704568863,0.00802216823132231,0.7421500086784363,0.7712491154670715,Evidence at protein level,1.15,1.0251391446267157,True,2
Mono/Macro,C5AR1,67,0.8901699029126214,1.0,0.7318057116270066,0.010240366287504918,0.7105914950370789,0.7535437345504761,Evidence at protein level,1.15,1.0236953883495146,True,3
Mono/Macro,CSF1R,67,0.8852946099765651,1.0,0.7405789843797683,0.010233669730774548,0.7197505235671997,0.7567083835601807,Evidence at protein level,1.15,1.0180888014730498,True,4
Mono/Macro,MMP19,67,0.8817166052895883,1.0,0.7217147397994995,0.00794799647274144,0.703270435333252,0.7332510352134705,Evidence at protein level,1.15,1.0139740960830264,True,5
Mono/Macro,TREM2,67,0.8794358888516907,1.0,0.7382877295017243,0.007229902740429437,0.7218573689460754,0.7512429356575012,Evidence at protein level,1.15,1.0113512721794442,True,6
Mono/Macro,FPR1,67,0.8713382992969534,1.0,0.7379516915082932,0.00916554493742936,0.7207245826721191,0.7556505799293518,Evidence at protein level,1.15,1.0020390441914964,True,7
Mono/Macro,PLA2G7,67,0.8694969869434215,1.0,0.742848026394844,0.007513021505168537,0.7278693318367004,0.7561706900596619,Evidence at protein level,1.15,0.9999215349849346,True,8
Mono/Macro,TREM1,67,0.8685763307666555,1.0,0.7109827206134797,0.01033873502367949,0.6896112561225891,0.7271906137466431,Evidence at protein level,1.15,0.9988627803816538,True,9
Mono/Macro,PILRA,67,0.8666094743890191,1.0,0.7283106495141983,0.013497565885154363,0.7008947730064392,0.7482457756996155,Evidence at protein level,1.15,0.996600895547372,True,10
